customerID,gender,SeniorCitizen,Dependents,tenure,PhoneService,DeviceProtection,TechSupport,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,complaints,num_complaints,payment_risk,low_engagement,support_calls,tenure_group,high_value_customer,has_complaint,has_internet,fiber_user,complaint_text_length,complaint_negative_score,complaint_negative_flag,billing_issue_flag,technical_issue_flag,service_issue_flag
1024-GUALD,Female,0,0,1,0,0,0,Month-to-month,1,Electronic check,24.8,24.8,1,Shoutout to Janine in cust serv dept. She spent 40min untangling a mess &amp; saving my thanksgiving trip! #unsunghero,1,1,1,1,new,0,1,1,0,118,0,0,0,0,0
0484-JPBRU,Male,0,0,41,1,0,0,Month-to-month,1,Bank transfer (automatic),25.25,996.45,0,please explain this ! What I ordered vs what I got ! It looks like it’s been thrown at a wall!,1,1,0,1,loyal,0,1,0,0,94,0,0,0,0,0
3620-EHIMZ,Female,0,1,52,1,0,0,Two year,0,Mailed check,19.35,1031.7,0,"I just ordered the new call of duty for £84.99, I’m trying to checkout my basket and it’s telling me all my cards are WRONG! I thought we could apply the theme straight away Yeah here’s a picture, the theme has a timer, but that makes no sense how comes I can download my Ww2 dynamic theme but can’t use it? when do we get our cod points pre order bonus for WW2? WHERE ARE MY COD POINTS IN SUPPOSED TO GET FOR PRE ORDERING WW2 lagging quite a lot, and the headquarters is empty, Then gtfo off my post dick head Lol sarcasm 😉 love the game PLEASE HELP MY ACCOUNT SIGN IN ID GAS BEEN CHANGED 😭😭😭 MY CARDS ARE ON THAT ACCOUNT The game is new, stop being a child with the WW2 preorder it says we get 4 hours double xp, do we activate it? Or do we have to use it straight away?",5,0,0,6,loyal,0,1,0,0,772,0,0,0,1,1
6910-HADCM,Female,0,0,1,1,1,0,Month-to-month,0,Electronic check,76.35,76.35,1,Oh what the hell? Details?,1,1,1,1,new,0,1,1,1,26,0,0,0,0,0
8587-XYZSF,Male,0,0,67,1,0,1,Two year,0,Bank transfer (automatic),50.55,3260.1,0,"Plus I'm certain that it is illegal under eu directives to do that It's this as well but it's every single time it never used to be it used to be within 2 hours and it still says it can be 2 hours on the site I'm sick of it there are no problems clearly I've withdraw n loads of money in the past it's an excuse to make interest in not a retard Well I would not mind it but it's constant even once I take it out to my bank it's 3 days. Imagine going into a bank to take your money out to be told it's 3 days before you can have it from now on will be my business payment method and i wont accept paypal unless its sorted and that is on top of your mandatory hold on payments for sales im seriously getting pissed off now every single withdraw to my bank takes 72 hours. imagine if i wanted to take money out of my bank and had to come back in 72 hours its a joke thats the problem I am literally refunding from a pending balance that i got and it was the exact same ammount hey so im having trouble issuing a refund to a buyer, can you help me sort it? its saying there isnt enough money although its been in pending the entire time",5,0,0,5,long_term,0,1,1,0,1132,2,1,1,0,1
6818-WOBHJ,Female,1,0,68,1,0,0,Month-to-month,1,Bank transfer (automatic),89.6,6127.6,1,Who tf using my card for uber eats transactions 🤔,1,1,0,2,long_term,1,1,1,1,49,0,0,0,0,0
3082-YVEKW,Female,0,1,23,1,1,1,Two year,1,Bank transfer (automatic),77.15,1759.4,0,despite subscribing for 1000 data and 500 weekend data I can't still watch YouTube and iflix for free am been charged from my data 08057345515 I just bought 1k data plan 2 days ago 08057345515 how come you guys are charging me from my main data account to view YouTube between the hours of 1am and 5am,5,1,0,5,mid,0,1,1,0,301,0,0,1,0,0
4737-AQCPU,Male,0,1,72,1,1,1,Two year,0,Credit card (automatic),72.1,5016.65,0,"Checked your website, it is also down !!! Again, incompetent, stupid, useless !",1,1,0,1,long_term,0,1,1,0,79,0,0,0,0,0
4853-RULSV,Male,0,0,70,1,0,1,Two year,1,Credit card (automatic),104.0,7250.15,1,"Order# 404-0826305-2650729 Ordered 11-Sept-17 Redmi 4 (Black, 64 GB) Its front camera doesn't work properly. Return required #AmazonIndia",1,1,0,2,long_term,1,1,1,1,137,0,0,0,0,0
5766-ZJYBB,Male,0,0,1,1,0,0,Month-to-month,0,Mailed check,19.4,19.4,1,Disappointing after what happened in Bury St Edmunds last year. Disappointed to see only half spoon. At ollerton so close to NEWARK factory. #backbritishagriculture,2,1,1,2,new,0,1,0,0,164,1,1,0,1,0
2668-TZSPS,Male,0,0,1,1,0,0,Month-to-month,0,Mailed check,20.45,20.45,0,no how do i do this i have been trying to check in for the past 12 hours for my flight tonight and I am unable to,2,1,1,2,new,0,1,0,0,113,0,0,0,0,0
3192-LNKRK,Male,0,1,34,1,1,0,Month-to-month,1,Mailed check,84.05,2909.95,0,"All phones glitch, apple glitches far less than any android on the market.",1,1,0,1,loyal,1,1,1,1,74,0,0,0,1,0
5315-CKEQK,Male,1,1,28,1,0,0,One year,1,Electronic check,51.0,1381.8,0,"1250 McDonald ave, Richmond Ca. Well I'm glad they fixed it that quick! Somebody really cracked the Bank of America ATM's on McDonald smh",3,0,0,3,loyal,0,1,1,0,137,0,0,0,0,0
5914-DVBWJ,Female,1,0,18,1,0,1,Month-to-month,1,Electronic check,85.45,1505.85,1,Nope no refund I want what I ordered at the price I ordered it at!! I have screen shots as proof wrong parcel came been told to reorder but now it's doubled in price. I have screenshots of what I ordered and received HELP,2,1,0,3,mid,1,1,1,1,221,1,1,1,1,1
7998-ZLXWN,Female,0,0,15,1,0,0,Month-to-month,0,Credit card (automatic),20.45,330.8,0,"Yes, Amex everyday Card it is. Approved on Nov 10, but never got an update on it yet. Yes I do Chat representative is directing me to Call your new accounts dept who doesn’t have a solution. I tried yesterday too. To ""Check back later"". I did at 8:30; The representative asked me to call new accounts again tomorrow. I never received my new approved card even after 20 days. Eva takes forever to connect me to a representative who doesn’t have an answer. #worstexperienceever",5,1,0,5,mid,0,1,0,0,475,0,0,0,1,0
6328-ZPBGN,Female,1,0,11,1,0,0,Month-to-month,1,Bank transfer (automatic),95.15,997.65,1,No complaint recorded.,0,1,1,1,new,1,0,1,1,0,0,0,0,0,0
9530-EHPOH,Male,0,0,11,1,1,0,Month-to-month,0,Electronic check,53.75,608.0,1,No complaint recorded.,0,1,1,0,new,0,0,1,0,0,0,0,0,0,0
1853-UDXBW,Male,0,1,1,1,0,0,Month-to-month,1,Electronic check,70.0,70.0,1,Suddenly Dropbox started synching more than 30k files (using almost the entire CPU and slowing down my work). Why!?? Thanx a lot! Yes. I think it was an OS update. It took one day but now it's over.,2,1,1,3,new,0,1,1,1,198,0,0,0,0,0
2672-TGEFF,Female,0,1,37,1,0,0,Month-to-month,1,Electronic check,88.8,3340.55,0,"First you creatively charge my credit card because your billing system can't handle your free gifts. Then Fedex left your box with over $1k in hardware and marked Newegg in front of my door on a busy street, no signature required. Never ordering from Newegg again.",1,1,0,1,loyal,1,1,1,1,264,0,0,1,0,0
1902-XBTFB,Male,0,1,22,1,1,0,Month-to-month,1,Electronic check,89.4,2001.5,1,No complaint recorded.,0,1,0,0,mid,1,0,1,1,0,0,0,0,0,0
1640-PLFMP,Female,0,0,1,1,0,0,Month-to-month,1,Electronic check,70.25,70.25,0,"Literally 10 minutes after Spectrum was in the neighborhood messing with something, now the whole neighborhood has no cable or internet #annoying",1,1,1,1,new,0,1,1,1,145,0,0,0,1,0
3679-XASPY,Female,0,1,1,1,0,0,Month-to-month,0,Electronic check,19.45,19.45,0,"Just did, thanks. It was sent (to ) at 2:04 est. Just resent... Apparently, yes, I've sent it twice now...to . Is that the correct handle? I certainly hope my DMs aren't showing up in public. Here's a partial screenshot of a lengthly DM I've sent twice... This is almost as much fun as trying to get my reimbursement! I just went into another browser and DM'd a 3rd time. I don't use Facebook. Thanks for your help. Just DM'd. . I switched after 15 years with #Verizon in May. Mostly happy but 2 of 3 reimbursements STILL incomplete. Feels like #BaitAndSwitch",5,1,1,5,new,0,1,0,0,559,0,0,0,1,1
7356-IWLFW,Male,0,1,46,1,0,0,Month-to-month,1,Bank transfer (automatic),80.0,3769.7,0,No complaint recorded.,0,1,0,0,loyal,0,0,1,1,0,0,0,0,0,0
9036-CSKBW,Female,0,0,51,1,1,0,One year,0,Bank transfer (automatic),107.45,5680.9,0,"I sent my address in a message is there a rough estimate on service being restored in Cumberland County, Maine?",2,1,0,3,loyal,1,1,1,1,111,0,0,0,0,0
8952-WCVCD,Female,0,0,41,1,1,0,One year,1,Bank transfer (automatic),104.45,4162.05,0,"I need some supporting documentation of a flight I had that was cancelled. Can you help? order is late, I called driver and he said a new driver was sent. Not sure who to call since the app just calls the first one?",2,1,0,2,loyal,1,1,1,1,215,0,0,0,1,1
2100-BDNSN,Female,0,0,5,1,1,1,Month-to-month,0,Bank transfer (automatic),67.95,350.3,1,No complaint recorded.,0,1,1,1,new,0,0,1,0,0,0,0,0,0,0
2869-ADAWR,Female,0,0,45,1,0,0,Month-to-month,1,Credit card (automatic),89.3,4016.85,1,No complaint recorded.,0,1,0,1,loyal,1,0,1,1,0,0,0,0,0,0
